column,missing_ratio
summary,0.28555681344217365
directors,0.13151701126139545
genres,0.08020020258595006
rating_score,0.0499910623845558
year,0.02998569981528928
countries,4.4688077220997435e-05
movie_id,0.0
original_title,0.0
title,0.0
rating_count,0.0
collect_count,0.0
