year,movie_count,avg_rating,avg_rating_count
1943.0,7,7.3428571428571425,401.85714285714283
1944.0,26,7.392307692307692,1433.2692307692307
1945.0,33,7.233333333333333,1896.8181818181818
1946.0,30,7.260000000000001,1062.9
1947.0,40,7.2525,481.0
1948.0,51,7.517647058823529,2513.843137254902
1949.0,43,7.353488372093023,1050.9302325581396
1950.0,44,7.220454545454545,7053.136363636364
1951.0,52,7.365384615384615,2006.8076923076924
1952.0,46,7.604347826086957,4780.108695652174
1953.0,55,7.434545454545455,15681.618181818181
1954.0,53,7.486792452830189,3861.9245283018868
1955.0,61,7.349180327868853,1529.3934426229507
1956.0,63,7.457142857142857,2186.7301587301586
1957.0,67,7.414925373134328,10807.522388059702
1958.0,75,7.445333333333333,1309.04
1959.0,68,7.3088235294117645,1973.3382352941176
1960.0,78,7.478205128205127,4219.948717948718
1961.0,65,7.415384615384616,5492.046153846154
1962.0,89,7.548314606741573,2183.2022471910113
1963.0,35,7.388571428571429,1674.1714285714286
1966.0,83,7.225301204819278,2952.4698795180725
1967.0,81,7.17037037037037,1551.962962962963
1968.0,88,7.078409090909091,2670.784090909091
1969.0,104,7.207692307692308,1324.6346153846155
1970.0,99,7.018181818181818,850.8585858585859
1971.0,121,7.050413223140496,3457.900826446281
1972.0,104,7.013461538461538,7603.807692307692
1973.0,112,7.139285714285714,1892.267857142857
1974.0,114,6.849122807017544,4683.2192982456145
1975.0,121,6.871900826446281,5283.3140495867765
1976.0,127,6.9102362204724415,2506.3622047244094
1977.0,116,6.7939655172413795,1021.551724137931
1978.0,104,6.867307692307692,1686.7307692307693
1979.0,156,7.147435897435898,3661.346153846154
1980.0,154,7.025974025974026,4090.116883116883
1981.0,102,6.952941176470588,1203.1470588235295
1983.0,98,7.15,3184.938775510204
1984.0,188,7.2005319148936175,3518.574468085106
1985.0,200,7.1615,2519.01
1986.0,204,7.099019607843138,7075.35294117647
1987.0,236,7.139830508474576,7174.1652542372885
1988.0,226,7.042035398230088,11380.933628318584
1989.0,275,7.0236363636363635,5312.610909090909
1990.0,237,7.019409282700422,6513.362869198312
1991.0,268,7.0339552238805965,10995.929104477613
1992.0,265,7.053584905660378,12367.128301886793
1993.0,285,7.039649122807018,17102.126315789475
1994.0,163,7.1503067484662575,59334.613496932514
1995.0,7,8.928571428571429,628454.5714285715
1996.0,137,7.069343065693431,9955.321167883212
1997.0,313,7.174760383386581,19966.984025559104
1998.0,348,7.130747126436781,16551.6091954023
1999.0,359,7.053203342618384,13888.105849582173
2000.0,438,6.930593607305936,10300.175799086757
2001.0,451,6.9509977827051,19666.155210643017
2002.0,479,6.941127348643007,14826.1503131524
2003.0,487,6.894250513347022,16057.273100616016
2004.0,256,6.978125,28990.83984375
2005.0,617,6.709400324149108,9998.213938411669
2006.0,780,6.676794871794871,14371.962820512821
2007.0,826,6.563317191283293,10549.513317191284
2008.0,846,6.5241134751773044,13937.758865248226
2009.0,928,6.433728448275862,16386.494612068964
2010.0,992,6.467540322580645,17236.94254032258
2011.0,956,6.3214435146443515,15200.533472803347
2012.0,1057,6.212204351939452,10777.867549668874
2013.0,1057,6.130274361400189,15989.869441816461
2014.0,1090,6.023761467889908,12505.317431192661
2015.0,1157,5.963267070008643,10911.604148660328
2016.0,1156,5.885640138408305,15011.769896193771
2017.0,987,5.828571428571429,12122.2147922999
2018.0,898,5.975167037861915,17718.067928730514
2019.0,535,5.999065420560748,17579.719626168226
2020.0,47,6.036170212765957,16870.40425531915
