title,year,rating_score,rating_count,genres,countries
是，大臣 1984圣诞特辑,1984.0,9.8,5328,喜剧,英国
张国荣热·情演唱会,2000.0,9.8,1833,纪录片/音乐/歌舞,中国香港/中国大陆
唱游大世界王菲香港演唱会98-99,1999.0,9.8,370,纪录片/音乐,中国香港
肖申克的救赎,1994.0,9.7,1992071,犯罪/剧情,美国
周杰伦无与伦比演唱会,2004.0,9.7,1122,音乐,中国台湾
张国荣告别演唱会,1989.0,9.7,1099,纪录片/音乐/歌舞,中国香港
霸王别姬,1993.0,9.6,1486938,剧情/爱情/同性,中国大陆/中国香港
控方证人,1957.0,9.6,275167,剧情/犯罪/悬疑,美国
悲惨世界：25周年纪念演唱会,2010.0,9.6,8806,音乐,英国
神秘博士：DT的视频日志：最后的日子,2010.0,9.6,986,纪录片,英国
